13:16:33.88843 2020-07-06	started SetCameraFocus(You)
13:16:34.95126 2020-07-06	input arrived You at (585.2, 8.0, 3.7)
13:16:35.28817 2020-07-06	input arrived You position GreatHall.Throne
13:16:35.53408 2020-07-06	input exited You position GreatHall.Throne
13:16:36.27117 2020-07-06	input started walking You at (585.2, 8.0, 3.7)
13:16:36.27518 2020-07-06	input stopped walking You at (585.2, 8.0, 3.7)
13:16:36.30717 2020-07-06	input started walking You at (585.7, 8.0, 3.7)
13:16:36.34417 2020-07-06	input exited You position Lionheart The Just
13:16:36.94150 2020-07-06	input arrived You at (584.6, 7.6, 2.6)
13:16:38.96601 2020-07-06	input arrived You at (578.6, 7.6, -0.4)
13:16:40.99254 2020-07-06	input arrived You at (577.1, 5.6, -6.1)
13:16:43.00665 2020-07-06	input arrived You at (578.9, 2.7, -11.6)
13:16:45.01787 2020-07-06	input arrived You at (577.3, 2.8, -10.1)
13:16:46.86388 2020-07-06	input stopped walking You at (576.7, 6.3, -5.2)
13:16:47.03887 2020-07-06	input arrived You at (576.7, 6.3, -5.2)
13:16:47.38587 2020-07-06	input started walking You at (576.7, 6.3, -5.2)
13:16:47.42787 2020-07-06	input started walking You at (576.7, 6.3, -5.2)
13:16:49.05568 2020-07-06	input arrived You at (574.4, 7.6, -1.5)
13:16:50.13868 2020-07-06	input stopped walking You at (570.7, 7.6, -1.4)
13:16:50.61769 2020-07-06	input Leave GreatHall.LeftDoor
13:16:50.64668 2020-07-06	started WalkTo(You, GreatHall.LeftDoor)
13:16:50.65168 2020-07-06	input started walking You at (570.7, 7.6, -1.4)
13:16:50.65569 2020-07-06	input started walking You at (570.7, 7.6, -1.4)
13:16:50.70820 2020-07-06	input started walking You at (570.7, 7.6, -1.4)
13:16:51.07319 2020-07-06	input arrived You at (570.3, 7.6, -1.9)
13:16:51.91489 2020-07-06	succeeded WalkTo(You, GreatHall.LeftDoor)
13:16:51.96489 2020-07-06	started Exit(You, GreatHall.LeftDoor, true)
13:16:57.67354 2020-07-06	input arrived You position GreatHall.LeftDoor.Out
13:16:59.09255 2020-07-06	input arrived You at (566.4, 7.4, -3.8)
13:16:59.16054 2020-07-06	succeeded Exit(You, GreatHall.LeftDoor, true)
13:16:59.20254 2020-07-06	started Enter(You, Blacksmith.Door, true)
13:16:59.49655 2020-07-06	input arrived You position Blacksmith.Door.Out
13:16:59.50055 2020-07-06	input exited You position GreatHall.LeftDoor.Out
13:17:02.89722 2020-07-06	input arrived You position Blacksmith.Door.In
13:17:03.01822 2020-07-06	input stopped walking You at (299.4, 0.0, -0.3)
13:17:03.05222 2020-07-06	input arrived You at (299.4, 0.1, -0.3)
13:17:03.09523 2020-07-06	input exited You position Blacksmith.Door.In
13:17:03.97373 2020-07-06	succeeded Enter(You, Blacksmith.Door, true)
